name,recclass,mass (g),fall,date,year,reclat,reclong
Garhi Yasin,Iron IIE,380,Fell,1/1/1917,1917,27.88333,68.53333
Ranchapur,H4,290.4,Fell,1/1/1917,1917,23.98333,87.08333
Sediköy,L6,240,Fell,1/1/1917,1917,38.3,27.13333
Silistra,Achondrite-ung,0.15,Fell,1/1/1917,1917,44.11667,27.26667
Saratov,L4,200000,Fell,1/1/1918,1918,52.55,46.55
Kimble County,H6,153800,Found,1/1/1918,1918,30.41667,-99.4
Glasatovo,H4,152000,Fell,1/1/1918,1918,57.35,37.61667
Yenberrie,Iron IAB-MG,132000,Found,1/1/1918,1918,-14.25,132.01667
Richardton,H5,90000,Fell,1/1/1918,1918,46.88333,-102.31667
Barbacena,Iron ungrouped,9026,Found,1/1/1918,1918,-21.21667,-43.93333
Wood's Mountain,Iron IVA,3867,Found,1/1/1918,1918,35.68333,-82.18333
Ogallala,Iron IAB-sLL,3300,Found,1/1/1918,1918,41.16667,-101.66667
Logan,H5,1315,Found,1/1/1918,1918,36.58333,-100.2
Norfork,Iron IIIAB,1050,Fell,1/1/1918,1918,36.21667,-92.26667
Tané,L5,905,Fell,1/1/1918,1918,35.43333,136.23333
Eustis,H4,502,Found,1/1/1918,1918,28.83333,-81.68333
Donnybrook,Mesosiderite?,414,Found,1/1/1918,1918,-33.61667,115.91667
Thompson Brook,Iron IAB-ung,76.6,Found,1/1/1918,1918,-33.61667,115.91667
Witklip Farm,H5,22,Fell,1/1/1918,1918,-26,30
Bur-Gheluai,H5,120000,Fell,1/1/1919,1919,5,48
Signal Mountain,Iron IVA,63500,Found,1/1/1919,1919,32.5,-115.5
Otchinjau,Iron IVA,30000,Found,1/1/1919,1919,-16.5,14
Lake Brown,L6,23400,Found,1/1/1919,1919,-31,118.5
Anthony,H5,20000,Found,1/1/1919,1919,37.08333,-98.05
Cumberland Falls,Aubrite,17000,Fell,1/1/1919,1919,36.83333,-84.35
Somervell County,Pallasite PMG,11800,Found,1/1/1919,1919,32.18333,-97.8
Rembang,Iron IVA,10000,Fell,1/1/1919,1919,-6.73333,111.36667
Raoyang,L6,4910,Fell,1/1/1919,1919,38.2,115.7
Adhi Kot,EH4,4239,Fell,1/1/1919,1919,32.1,71.8
Zaffra,Iron IAB-MG,3000,Found,1/1/1919,1919,35,-94.75
Freda,Iron IAB-sLH,268,Found,1/1/1919,1919,46.38333,-101.23333
Cacak,OC,212,Fell,1/1/1919,1919,43.83889,20.33333
St. Mary's County,LL3.3,24.3,Fell,1/1/1919,1919,38.16667,-76.38333
Hoba,Iron IVB,60000000,Found,1/1/1920,1920,-19.58333,17.91667
Unter-Mässing,Iron IIC,80000,Found,1/1/1920,1920,49.09028,11.33333
Merua,H5,71400,Fell,1/1/1920,1920,25.48333,81.98333
Wu-chu-mu-ch'in,Iron IAB-ung,68860,Found,1/1/1920,1920,45.5,118
Mayodan,Iron IIAB,15400,Found,1/1/1920,1920,36.38333,-79.86667
Kushiike,OC,4460,Fell,1/1/1920,1920,37.05,138.38333
Chinguetti,Mesosiderite-B1,4050,Found,1/1/1920,1920,20.25,-12.68333
Witchelina,H4,3637,Found,1/1/1920,1920,-30,138
San Francisco Mountains,Iron IVA,1700,Found,1/1/1920,1920,35,-112
Aguila Blanca,L,1440,Fell,1/1/1920,1920,-30.86667,-64.55
Morrill,Iron IAB-an,1387,Found,1/1/1920,1920,42.18333,-103.93333
Atarra,L4,1280,Fell,1/1/1920,1920,25.25417,80.625
Simmern,H5,1222,Fell,1/1/1920,1920,49.98333,7.53333
Tuzla,L6,236,Found,1/1/1920,1920,44.01667,28.63333
Navajo,Iron IIAB,2184000,Found,1/1/1921,1921,35.33333,-109.5
Santa Luzia,Iron IIAB,1918000,Found,1/1/1921,1921,-16.26667,-47.95
Uegit,Iron IIIAB,252000,Found,1/1/1921,1921,3.81667,43.33333
Milly Milly,Iron IIIAB,26500,Found,1/1/1921,1921,-26.11667,116.66667
Tuan Tuc,L6,13100,Fell,1/1/1921,1921,9.66667,105.66667
Vaalbult,Iron IAB-MG,11800,Found,1/1/1921,1921,-29.75,22.5
Rose City,H5,10600,Fell,1/1/1921,1921,44.51667,-83.95
Franklin,H5,9062,Found,1/1/1921,1921,36.71667,-86.56667
Pitts,Iron IAB-ung,3760,Fell,1/1/1921,1921,31.95,-83.51667
Shikarpur,L6,3679.7,Fell,1/1/1921,1921,25.85,87.5775
Samelia,Iron IIIAB,2462,Fell,1/1/1921,1921,25.66667,74.86667
El Qoseir,Iron ungrouped,2405,Found,1/1/1921,1921,26.28333,34.25
Sharps,H3.4,1265,Fell,1/1/1921,1921,37.83333,-76.7
Beyrout,LL3.8,1100,Fell,1/1/1921,1921,33.88333,35.5
Coolamon,L6,393,Found,1/1/1921,1921,-34.81667,147.13333
Cold Bay,Pallasite PES,320,Found,1/1/1921,1921,55.18333,-162.55
Haripura,CM2,315,Fell,1/1/1921,1921,28.38333,75.78333
Kamioka,H4,30,Found,1/1/1921,1921,39.51667,140.36667
Odessa (iron),Iron IAB-MG,1600000,Found,1/1/1922,1922,31.71667,-102.4
Piedade do Bagre,Iron ungrouped,59000,Found,1/1/1922,1922,-18.94167,-44.98333
Tieraco Creek,Iron IIIAB,41700,Found,1/1/1922,1922,-26.33333,118.33333
Glasgow,Iron IIIAB,20400,Found,1/1/1922,1922,37.01667,-85.91667
